...
0	0.5	0	10	0
63.5	0.5	0	50	100
63.5	3	0	50	0
0	3	0	50	100
0	5.5	0	50	0
63.5	5.5	0	50	100
63.5	8	0	50	0
0	8	0	50	100
0	10.5	0	50	0
63.5	10.5	0	50	100
63.5	13	0	50	0
0	13	0	50	100
0	15.5	0	50	0
63.5	15.5	0	50	100
63.5	18	0	50	0
0	18	0	50	100
0	20.5	0	50	0
63.5	20.5	0	50	100
63.5	23	0	50	0
0	23	0	50	100
0	25.5	0	50	0
63.5	25.5	0	50	100
63.5	28	0	50	0
0	28	0	50	100
0	30.5	0	50	0
63.5	30.5	0	50	100
63.5	33	0	50	0
0	33	0	50	100
0	35.5	0	50	0
63.5	35.5	0	50	100
63.5	38	0	50	0
0	38	0	50	100
0	40.5	0	50	0
63.5	40.5	0	50	100
63.5	43	0	50	0
0	43	0	50	100
0	45.5	0	50	0
63.5	45.5	0	50	100
63.5	48	0	50	0
0	48	0	50	100
0	50.5	0	50	0
63.5	50.5	0	50	100
63.5	53	0	50	0
0	53	0	50	100
0	55.5	0	50	0
63.5	55.5	0	50	100
63.5	58	0	50	0
0	58	0	50	100
0	60.5	0	50	0
63.5	60.5	0	50	100
63.5	63	0	50	0
0	63	0	50	100
0.5	0	0.9	50	0
0.5	63.5	0.9	50	100
3	63.5	0.9	50	0
3	0	0.9	50	100
5.5	0	0.9	50	0
5.5	63.5	0.9	50	100
8	63.5	0.9	50	0
8	0	0.9	50	100
10.5	0	0.9	50	0
10.5	63.5	0.9	50	100
13	63.5	0.9	50	0
13	0	0.9	50	100
15.5	0	0.9	50	0
15.5	63.5	0.9	50	100
18	63.5	0.9	50	0
18	0	0.9	50	100
20.5	0	0.9	50	0
20.5	63.5	0.9	50	100
23	63.5	0.9	50	0
23	0	0.9	50	100
25.5	0	0.9	50	0
25.5	63.5	0.9	50	100
28	63.5	0.9	50	0
28	0	0.9	50	100
30.5	0	0.9	50	0
30.5	63.5	0.9	50	100
33	63.5	0.9	50	0
33	0	0.9	50	100
35.5	0	0.9	50	0
35.5	63.5	0.9	50	100
38	63.5	0.9	50	0
38	0	0.9	50	100
40.5	0	0.9	50	0
40.5	63.5	0.9	50	100
43	63.5	0.9	50	0
43	0	0.9	50	100
45.5	0	0.9	50	0
45.5	63.5	0.9	50	100
48	63.5	0.9	50	0
48	0	0.9	50	100
50.5	0	0.9	50	0
50.5	63.5	0.9	50	100
